co2_level_eur_per_ton,run_dir,market_avg_price_eur_per_mwh,market_total_awarded_mwh,low_mwh,low_eur,high_mwh,high_eur
0.0,run_co2_0p0,36.784442064720686,610052731.8873858,7529.816952499992,269520.5950747215,8397.198691666643,302190.0132284627
20.0,run_co2_20p0,48.97906435682084,608219563.3480605,7529.816952499992,362403.20888084645,8397.198691666643,405540.2859399849
40.0,run_co2_40p0,61.6310243118007,606394125.1458113,7529.816952499992,457803.368484624,8397.198691666643,511844.4607238035
60.0,run_co2_60p0,74.69836639647669,604814799.3031162,7529.816952499992,555865.6017101085,8397.198691666643,621160.2751159861
80.0,run_co2_80p0,88.33359559925383,603936417.280644,7529.816952499992,658112.4756196085,8397.198691666643,735204.6306824745
100.0,run_co2_100p0,102.43177653516481,603465406.04469,7529.816952499992,763713.3660447729,8397.198691666643,853034.8750686104
